DONG_CD,CTPV_NM,SGG_NM,EMD_NM,SGG_CD
4375000000,충청북도,진천군,,43750.0
4376000000,충청북도,괴산군,,43760.0
4129000000,경기도,과천시,,41290.0
4131000000,경기도,구리시,,41310.0
4136000000,경기도,남양주시,,41360.0
4136055000,경기도,남양주시,지금동,41360.0
4136056000,경기도,남양주시,도농동,41360.0
4136200000,경기도,풍양출장소,,
4137000000,경기도,오산시,,41370.0
4139000000,경기도,시흥시,,41390.0
4141000000,경기도,군포시,,41410.0
4143000000,경기도,의왕시,,41430.0
4145000000,경기도,하남시,,41450.0
4146000000,경기도,용인시,,4146.0
4146100000,경기도,용인시 처인구,,4146.0
4146131000,경기도,용인시 처인구,모현면,4146.0
4146133000,경기도,용인시 처인구,이동면,4146.0
4146500000,경기도,용인시 수지구,,4146.0
4122035000,경기도,평택시,청북면,41220.0
4122200000,경기도,송탄출장소,,
4122400000,경기도,안중출장소,,
4125000000,경기도,동두천시,,41250.0
4127000000,경기도,안산시,,4127.0
4127100000,경기도,안산시 상록구,,4127.0
4127152000,경기도,안산시 상록구,사1동,4127.0
4127153000,경기도,안산시 상록구,사2동,4127.0
4127153500,경기도,안산시 상록구,사3동,4127.0
4127300000,경기도,안산시 단원구,,4127.0
4127352000,경기도,안산시 단원구,고잔1동,4127.0
4127353000,경기도,안산시 단원구,고잔2동,4127.0
4127354000,경기도,안산시 단원구,원곡본동,4127.0
4127355000,경기도,안산시 단원구,원곡1동,4127.0
4127356000,경기도,안산시 단원구,원곡2동,4127.0
4128000000,경기도,고양시,,4128.0
4377000000,충청북도,음성군,,43770.0
4380000000,충청북도,단양군,,43800.0
4400000000,충청남도,,,44000.0
4413000000,충청남도,천안시,,4413.0
4413100000,충청남도,천안시 동남구,,4413.0
4511300000,전라북도,전주시 덕진구,,4511.0
4511800000,전라북도,전주시효자출,,4511.0
4513000000,전라북도,군산시,,45130.0
4571000000,전라북도,완주군,,45710.0
4572000000,전라북도,진안군,,45720.0
4514000000,전라북도,익산시,,45140.0
4514500000,전라북도,익산시함열출,,
4518000000,전라북도,정읍시,,45180.0
4519000000,전라북도,남원시,,45190.0
4521000000,전라북도,김제시,,45210.0
4479000000,충청남도,청양군,,44790.0
4110500000,북부출장소,,,
4111000000,경기도,수원시,,4111.0
4111100000,경기도,수원시 장안구,,4111.0
4111300000,경기도,수원시 권선구,,4111.0
1130559500,서울특별시,강북구,번1동,11305.0
1130560300,서울특별시,강북구,번2동,11305.0
1130560800,서울특별시,강북구,번3동,11305.0
1130561500,서울특별시,강북구,수유1동,11305.0
1130562500,서울특별시,강북구,수유2동,11305.0
1130563500,서울특별시,강북구,수유3동,11305.0
2818585000,인천광역시,연수구,송도4동,28185.0
2872037500,인천광역시,옹진군,자월면이작출장소,
4111759300,경기도,수원시 영통구,망포1동,4111.0
4111759600,경기도,수원시 영통구,망포2동,4111.0
4159400000,경기도,화성시동탄출장소,,41594.0
4671033500,전라남도,담양군,가사문학면,46710.0
4775031500,경상북도,청송군,주왕산면,47750.0
4111366000,경기도,수원시 권선구,금호동,4111.0
4111500000,경기도,수원시 팔달구,,4111.0
4128157000,경기도,고양시 덕양구,신도동,4128.0
4128500000,경기도,고양시 일산동구,,4128.0
4128700000,경기도,고양시 일산서구,,4128.0
4148000000,경기도,파주시,,41480.0
4150000000,경기도,이천시,,41500.0
4128100000,경기도,고양시 덕양구,,4128.0
4159200000,경기도,화성시동부출장소,,
4119565000,경기도,부천시 원미구,중3동,4119.0
4119566000,경기도,부천시 원미구,중4동,4119.0
4119567000,경기도,부천시 원미구,상동,4119.0
4119568000,경기도,부천시 원미구,상1동,4119.0
4119569000,경기도,부천시 원미구,상2동,4119.0
4119570000,경기도,부천시 원미구,상3동,4119.0
4119700000,경기도,부천시 소사구,,4119.0
4119751000,경기도,부천시 소사구,심곡본1동,4119.0
4119752000,경기도,부천시 소사구,심곡본동,4119.0
4119753500,경기도,부천시 소사구,소사본동,4119.0
4119755000,경기도,부천시 소사구,소사본3동,4119.0
4119756000,경기도,부천시 소사구,범박동,4119.0
3171000000,울산광역시,울주군,,31710.0
3171033000,울산광역시,울주군,청량면,31710.0
3611000000,세종특별자치시,세종시,,36110.0
4100000000,경기도,,,41000.0
4119955000,경기도,부천시 오정구,고강1동,4119.0
4119956000,경기도,부천시 오정구,오정동,4119.0
4119957000,경기도,부천시 오정구,신흥동,4119.0
4121000000,경기도,광명시,,41210.0
4122000000,경기도,평택시,,41220.0
4113500000,경기도,성남시 분당구,,4113.0
4119060300,경기도,부천시,심곡동,41190.0
4119060600,경기도,부천시,부천동,41190.0
4119074200,경기도,부천시,신중동,41190.0
4119074400,경기도,부천시,상동,41190.0
4119074600,경기도,부천시,대산동,41190.0
4119079500,경기도,부천시,범안동,41190.0
4159061000,경기도,화성시,동탄7동,41590.0
4375025300,충청북도,진천군,덕산읍,43750.0
4115000000,경기도,의정부시,,41150.0
4115059000,경기도,의정부시,가능1동,41150.0
4115060000,경기도,의정부시,가능2동,41150.0
